seconds_since_2019_07_04_utc,magnitude,event_id
196260.730,3.72,ci38458951
196269.270,3.31,ci37264124
196309.560,2.8,ci38458959
196315.320,3.55,ci38458967
196327.830,3.09,ci37229188
196346.660,2.97,ci38458975
196389.860,2.77,ci38458983
196423.070,2.7,ci37229284
196434.420,2.75,ci37229292
196458.740,2.54,ci38458991
196487.410,4.05,ci38458999
196516.600,2.84,ci37229308
196533.690,3.09,ci37229324
196535.450,2.89,ci37229332
196598.530,2.75,ci38459007
196639.840,2.5,ci37229428
196667.280,2.51,ci38459023
196750.040,2.98,ci38459031
196802.000,3.03,ci38459039
196807.410,2.86,ci37229548
196875.060,3.9,ci38459047
196990.470,2.6,ci38459055
196996.770,2.7,ci38459063
197030.040,2.73,ci38459071
197036.890,2.64,ci37230380
197048.600,2.64,ci38459079
197108.770,2.59,ci37230516
197130.730,2.86,ci38459103
197159.800,2.8,ci37230572
197172.130,2.81,ci37230532
197228.020,3.24,ci38459127
197230.840,3.57,ci38459135
197274.660,2.78,ci38459143
197287.660,2.99,ci37230652
197303.650,2.68,ci37230668
197367.720,2.77,ci37230884
197368.910,3.32,ci38459167
197384.620,2.54,ci37230900
197412.070,2.84,ci38459175
197418.180,2.77,ci37230940
197436.520,3.39,ci38459183
197541.680,2.67,ci38459199
